,2023년,2024년,증감량,증감율,정류소 개수,지하철역 개수,2023년 총인구수,2024년 총인구수,따릉이 대여소 개수
강서구,2686510,2709792,23282,0.8666262176578535,618.0,21.0,567883.0,560679.0,224
송파구,2339822,2163230,-176592,-7.5472407730160675,504.0,30.0,657665.0,653447.0,249
영등포구,1965419,1997524,32105,1.6334939267403032,514.0,22.0,376423.0,375090.0,186
노원구,1517867,1464637,-53230,-3.5068948728709435,517.0,13.0,501838.0,496406.0,174
양천구,1367295,1372958,5663,0.41417543397730555,338.0,8.0,438848.0,433975.0,131
마포구,1211794,1135629,-76165,-6.28530921922373,585.0,24.0,365287.0,363449.0,144
광진구,1191513,1127025,-64488,-5.412278338549391,297.0,11.0,336558.0,334790.0,102
강동구,1066403,1027062,-39341,-3.6891306569842732,403.0,14.0,459567.0,461921.0,135
성동구,966682,924891,-41791,-4.323138322633503,458.0,19.0,279980.0,276847.0,115
구로구,962785,921784,-41001,-4.258583172774815,512.0,13.0,395099.0,390952.0,132
동대문구,895620,824712,-70908,-7.917197025524218,316.0,11.0,337692.0,341981.0,101
종로구,874358,796300,-78058,-8.927464493948703,389.0,14.0,140891.0,139432.0,124
강남구,794325,816725,22400,2.8200044062568845,549.0,28.0,534646.0,554651.0,193
서초구,710949,672789,-38160,-5.367473616250955,644.0,18.0,404539.0,407596.0,170
중랑구,705100,668372,-36728,-5.208906538079705,388.0,13.0,384867.0,381668.0,109
은평구,635535,592414,-43121,-6.784992171949618,499.0,15.0,464217.0,465660.0,123
성북구,609959,536928,-73031,-11.973099831300136,602.0,14.0,429751.0,424663.0,106
중구,604560,559047,-45513,-7.52828503374355,229.0,25.0,121250.0,121607.0,111
관악구,594009,492502,-101507,-17.088461622635347,490.0,10.0,487641.0,481722.0,104
도봉구,530685,517273,-13412,-2.5272996221864195,365.0,8.0,310023.0,306057.0,105
동작구,514761,460778,-53983,-10.487002706110214,451.0,18.0,380385.0,378871.0,89
서대문구,504000,472112,-31888,-6.326984126984127,464.0,9.0,308338.0,306001.0,94
용산구,496178,479197,-16981,-3.422360523844266,351.0,18.0,217611.0,207969.0,102
금천구,422048,400923,-21125,-5.005354841155508,354.0,4.0,229328.0,226955.0,86
강북구,374337,318358,-55979,-14.954172309977373,409.0,11.0,292383.0,285880.0,74
